system:index,LST_Night_1km_max,LST_Night_1km_median,LST_Night_1km_min,LST_Night_1km_stdDev,modis_time,pixel_count,.geo
2008_10_09,11.330000000000041,9.630000000000052,2.6100000000000136,1.897052352087704,1223510400000,39,
2008_10_10,,,,,1223596800000,0,
2008_10_11,,,,,1223683200000,0,
2008_10_12,4.090000000000032,2.110000000000042,-0.049999999999954525,1.721532747292362,1223769600000,4,
2008_10_13,5.9500000000000455,3.7700000000000387,1.0900000000000318,1.5356214811382864,1223856000000,9,
2008_10_14,6.4500000000000455,5.060000000000031,1.6100000000000136,1.1050547422546564,1223942400000,38,
2008_10_15,6.8700000000000045,5.28000000000003,0.6100000000000136,1.2102210541880372,1224028800000,40,
2008_10_16,7.770000000000039,6.690000000000026,1.3500000000000227,1.1876527270208261,1224115200000,40,
2008_10_17,9.410000000000025,7.860000000000042,5.4500000000000455,0.9558555068628249,1224201600000,40,
2008_10_18,10.250000000000057,7.8300000000000125,2.670000000000016,1.565721558898642,1224288000000,40,
2008_10_19,0.05000000000001137,0.05000000000001137,0.05000000000001137,0.0,1224374400000,1,
2008_10_20,,,,,1224460800000,0,
2008_10_21,7.150000000000034,6.230000000000018,2.5300000000000296,1.08440381266677,1224547200000,37,
2008_10_22,9.010000000000048,8.270000000000039,-0.009999999999990905,2.032834228361975,1224633600000,40,
2008_10_23,7.990000000000009,6.930000000000007,0.3100000000000023,1.6419430128146042,1224720000000,39,
2008_10_24,9.310000000000002,8.150000000000034,2.3100000000000023,1.535726538157107,1224806400000,40,
2008_10_25,9.310000000000002,8.160000000000025,1.7500000000000568,1.8390812244161459,1224892800000,40,
2008_10_26,10.230000000000018,8.680000000000035,5.170000000000016,1.2442788071810806,1224979200000,40,
2008_10_27,10.690000000000055,9.550000000000011,3.250000000000057,1.7095847449015156,1225065600000,40,
2008_10_28,,,,,1225152000000,0,
2008_10_29,10.270000000000039,9.610000000000042,2.150000000000034,1.8050806076183876,1225238400000,40,
2008_10_30,7.490000000000009,6.170000000000016,1.990000000000009,1.2430944681840568,1225324800000,37,
2008_10_31,,,,,1225411200000,0,
2008_11_01,,,,,1225497600000,0,
2008_11_02,7.190000000000055,6.53000000000003,3.1300000000000523,1.147743873867336,1225584000000,10,
2008_11_03,1.5300000000000296,-0.6399999999999579,-2.8099999999999454,2.1699999999999875,1225670400000,2,
2008_11_04,3.6100000000000136,-0.5999999999999659,-4.809999999999945,4.2099999999999795,1225756800000,2,
2008_11_05,4.250000000000057,3.880000000000024,1.650000000000034,0.8929352346801723,1225843200000,6,
